Name,PIC50
CMNPD1014,4.942328409
CMNPD10141,4.772919665
CMNPD10140,4.560383906
CMNPD10143,4.695357812
CMNPD10144,4.564616466
CMNPD10145,4.72854486
CMNPD10142,4.755669915
CMNPD10146,4.577945175
CMNPD10147,5.309365391
CMNPD10148,5.763903972
CMNPD1015,4.861826156
CMNPD10149,5.111852424
CMNPD10150,5.111852424
CMNPD10151,5.763903972
CMNPD10153,4.652631667
CMNPD10154,4.557998785
CMNPD10152,5.09001399
CMNPD10155,4.566147841
CMNPD10156,4.566147841
CMNPD10157,4.56644073
CMNPD10158,5.756180914
CMNPD10159,5.276708675
CMNPD1016,4.573431081
CMNPD10160,3.879271
CMNPD10161,5.017856071
CMNPD10162,4.994949201
CMNPD10164,4.803398645
CMNPD10163,5.781505544
CMNPD10165,4.842636133
CMNPD10167,4.981817406
CMNPD10168,5.06504544
CMNPD10166,5.17889535
CMNPD1017,4.950338963
CMNPD10169,5.06504544
CMNPD10171,4.795649783
CMNPD10170,5.06504544
CMNPD10172,4.65062178
CMNPD10173,4.593766322
CMNPD10174,4.733225266
CMNPD10175,4.993610274
CMNPD10176,4.993610274
CMNPD10178,4.734373829
CMNPD10179,4.674757311
CMNPD10177,5.476567879
CMNPD1018,5.261432042
CMNPD10181,4.737189966
CMNPD10180,4.674757311
CMNPD10182,4.674757311
CMNPD10183,5.480227268
CMNPD10184,5.370296866
CMNPD10186,5.421911311
CMNPD10185,5.480227268
CMNPD10188,5.627526939
CMNPD10187,6.087851696
CMNPD10189,4.492513283
CMNPD1019,4.528834996
CMNPD10190,4.911922073
CMNPD10191,4.911922073
CMNPD10192,4.911922073
CMNPD10194,4.837844009
CMNPD10195,4.837844009
CMNPD10196,5.423788946
CMNPD10193,5.3130907
CMNPD10197,5.384562726
CMNPD10198,5.630630985
CMNPD102,5.374736796
CMNPD1020,5.074984154
CMNPD10199,5.623382377
CMNPD10201,5.381707313
CMNPD10200,5.481025153
CMNPD10202,5.506806096
CMNPD10204,6.736747293
CMNPD10203,6.731958025
CMNPD10206,5.219205324
CMNPD10207,5.196421091
CMNPD10208,5.196421091
CMNPD10209,6.452958264
CMNPD1021,5.350446504
CMNPD10211,4.538338513
CMNPD10210,5.318412636
CMNPD10212,4.873823375
CMNPD10213,4.508402383
CMNPD10214,5.063098268
CMNPD10216,5.176219393
CMNPD10217,4.671959275
CMNPD10218,4.482260312
CMNPD10219,4.632445588
CMNPD1022,5.075299711
CMNPD10220,4.836769425
CMNPD10221,4.923141232
CMNPD10222,4.696141511
CMNPD10223,5.108695484
CMNPD10224,5.117026555
CMNPD10225,5.117026555
CMNPD10215,5.176219393
CMNPD10226,5.117026555
CMNPD10227,5.119310287
CMNPD10228,5.117026555
CMNPD10229,5.05610923
CMNPD10230,4.807764208
CMNPD1023,5.323822947
CMNPD10232,4.987308083
CMNPD10231,4.996373866
CMNPD10233,4.858076813
CMNPD10234,4.622225281
CMNPD10235,4.688878214
CMNPD10236,4.710767499
CMNPD10237,4.858534388
CMNPD10238,4.64521561
CMNPD10239,5.000563177
CMNPD1024,4.860222776
CMNPD10240,4.80602866
CMNPD10241,4.649755785
CMNPD10242,4.619421519
CMNPD10243,4.582585068
CMNPD10244,4.732247767
CMNPD10245,4.630681945
CMNPD10246,4.812746449
CMNPD10247,4.780248679
CMNPD10249,4.658032028
CMNPD10248,4.672224795
CMNPD10250,4.658032028
CMNPD10251,5.576049712
CMNPD1025,4.763684394
CMNPD10252,5.576049712
CMNPD10253,4.963739538
CMNPD10254,4.921482919
CMNPD10255,5.127822929
CMNPD10256,5.127822929
CMNPD10257,4.995903419
CMNPD10258,4.789492704
CMNPD10259,4.790273913
CMNPD1026,4.717593132
CMNPD10260,4.884563815
CMNPD10261,4.824795559
CMNPD10262,4.904018487
CMNPD10263,5.217528582
CMNPD10264,5.286651114
CMNPD10265,5.345888712
CMNPD10266,5.345888712
CMNPD10267,5.347589729
CMNPD10268,5.403517394
CMNPD1027,4.717593132
CMNPD10269,5.195690353
CMNPD10270,5.215957203
CMNPD10271,5.195690353
CMNPD10273,5.342022766
CMNPD10274,5.394851379
CMNPD10272,5.195690353
CMNPD10276,4.788961522
CMNPD10275,4.936086099
CMNPD10277,4.848953578
CMNPD10278,4.848953578
CMNPD10279,4.788961522
CMNPD10280,4.848953578
CMNPD1028,4.717593132
CMNPD10282,4.826341761
CMNPD10281,4.848953578
CMNPD10284,5.118164956
CMNPD10283,5.118164956
CMNPD10286,5.140443263
CMNPD10285,5.135586934
CMNPD10288,4.72342023
CMNPD10287,4.72342023
CMNPD1029,4.717593132
CMNPD10290,5.136378746
CMNPD10289,5.118164956
CMNPD10291,5.136378746
CMNPD10292,5.147336291
CMNPD10293,5.160683963
CMNPD10294,5.17889535
CMNPD10296,4.80386692
CMNPD10295,5.227123036
CMNPD10297,4.953017085
CMNPD10299,4.886674522
